Scores,Scores Info
-45415.0,200
-80000.0,100
-89410.0,0
-80435.0,700
-37280.0,400
-89385.0,0
-22705.0,2000
-35860.0,1000
-69450.0,800
-88415.0,0
-87530.0,0
-88115.0,0
-81335.0,200
-2325.0,1100
1305.0,1600
-1125.0,900
-31745.0,400
-86835.0,0
-12215.0,1100
-85195.0,0
-85220.0,0
-90070.0,0
-86275.0,0
-49080.0,1300
-555.0,700
160.0,1800
-75970.0,600
-2605.0,1000
-28265.0,1300
-105.0,1100
-755.0,900
-430.0,900
-11945.0,600
-3905.0,1300
-1145.0,600
-710.0,600
5.0,1500
265.0,1300
-420.0,1100
1455.0,1000
70.0,1700
-6825.0,1400
-110.0,600
235.0,1000
-20.0,800
1235.0,1100
-390.0,600
145.0,1400
-555.0,700
440.0,1100
135.0,1200
-790.0,400
-800.0,400
-30.0,1400
-560.0,600
-615.0,600
-345.0,400
120.0,800
-245.0,300
-405.0,800
-690.0,500
-55040.0,200
-120.0,1300
-30695.0,400
125.0,700
-1285.0,100
-25.0,1300
-56720.0,200
-210.0,1000
-685.0,500
-25.0,1300
-770.0,500
-780.0,500
1000.0,400
345.0,1400
3325.0,3800
-835.0,500
400.0,800
-405.0,400
40.0,1100
610.0,700
290.0,900
110.0,1200
795.0,800
195.0,700
335.0,400
-890.0,500
605.0,1000
420.0,800
-49625.0,800
2080.0,2500
1700.0,1800
875.0,2200
-800.0,300
-230.0,400
565.0,1600
1795.0,2900
-585.0,400
-4545.0,200
-700.0,500
1735.0,2800
-795.0,300
-345.0,700
-825.0,200
1585.0,2100
-545.0,500
445.0,1600
470.0,1600
-595.0,500
-690.0,400
3155.0,2800
-9750.0,1000
-7920.0,500
-420.0,300
-40.0,1000
-105.0,400
-16440.0,400
-61980.0,900
-150.0,1100
220.0,600
330.0,1300
-870.0,300
-645.0,400
-865.0,300
-495.0,700
1770.0,2900
-4875.0,400
230.0,1300
420.0,900
-550.0,300
85.0,1200
90.0,1100
705.0,1000
320.0,1400
-915.0,300
635.0,1500
1650.0,2600
-570.0,600
-780.0,400
-9775.0,800
20.0,1200
-1025.0,400
-680.0,300
-970.0,200
100.0,1300
555.0,1700
250.0,700
-4485.0,300
-340.0,700
-355.0,900
-165.0,1000
-77095.0,0
-40380.0,300
-845.0,600
